	Chr	Pos	-log10(pValue)
rs9593	11	264	0.87
rs9594	11	265	0.581
rs9595	11	266	0.459
rs9596	11	267	0.013
rs9597	11	268	0.803
rs9598	11	269	0.044
rs9599	11	270	0.123
rs9600	11	271	0.629
rs9601	11	272	0.046
rs9602	11	273	0.031
rs9603	11	274	0.084
rs9604	11	275	0.045
rs9605	11	276	0.064
rs9606	11	277	0.173
rs9607	11	278	0.095
rs9608	11	279	0.219
rs9609	11	280	0.093
rs9610	11	281	2.301
rs9611	11	282	0.789
rs9612	11	283	0.314
rs9613	11	284	1.432
rs9614	11	285	0.958
rs9615	11	286	0.006
rs9616	11	287	0.526
rs9617	11	288	0.566
rs9618	11	289	0.148
rs9619	11	290	0.02
rs9620	11	291	1.401
rs9621	11	292	1.278
rs9622	11	293	0.497
rs9623	11	294	0.358
rs9624	11	295	0.781
rs9625	11	296	0.348
rs9626	11	297	0.974
rs9627	11	298	0.246
rs9628	11	299	0.523
rs9629	11	300	0.769
rs9630	11	301	0.045
rs9631	11	302	0.426
rs9632	11	303	0.103
rs9633	11	304	0.101
rs9634	11	305	1.078
rs9635	11	306	0.321
rs9636	11	307	0.143
rs9637	11	308	0.545
rs9638	11	309	0.822
rs9639	11	310	0.493
rs9640	11	311	0.21
rs9641	11	312	0.002
rs9642	11	313	0.277
rs9643	11	314	0.605
rs9644	11	315	0.205
rs9645	11	316	0.131
rs9646	11	317	0.288
rs9647	11	318	0.045
rs9648	11	319	0.155
rs9649	11	320	0.846
rs9650	11	321	0.251
rs9651	11	322	0.447
rs9652	11	323	0.117
rs9653	11	324	0.179
rs9654	11	325	0.236
rs9655	11	326	0.051
rs9656	11	327	0.045
rs9657	11	328	0.059
rs9658	11	329	0.322
rs9659	11	330	0.324
rs9660	11	331	0.706
rs9661	11	332	0.192
rs9662	11	333	0.463
rs9663	11	334	0.238
rs9664	11	335	0.351
rs9665	11	336	0.218
rs9666	11	337	1.098
rs9667	11	338	0.371
rs9668	11	339	1.261
rs9669	11	340	1.5
rs9670	11	341	0.694
rs9671	11	342	0.406
rs9672	11	343	0.138
rs9673	11	344	0.212
rs9674	11	345	0.008
rs9675	11	346	0.188
rs9676	11	347	0.391
rs9677	11	348	0.311
rs9678	11	349	0.99
rs9679	11	350	0.181
rs9680	11	351	0.573
rs9681	11	352	0.394
rs9682	11	353	0.41
rs9683	11	354	1.378
rs9684	11	355	0.051
rs9685	11	356	0.37
rs9686	11	357	0.426
rs9687	11	358	0.348
rs9688	11	359	0.607
rs9689	11	360	2.059
rs9690	11	361	0.436
rs9691	11	362	0.086
rs9692	11	363	0.296
rs9693	11	364	0.871
rs9694	11	365	0
rs9695	11	366	0.136
rs9696	11	367	0.024
rs9697	11	368	0.224
rs9698	11	369	0.147
rs9699	11	370	0.78
rs9700	11	371	0.023
rs9701	11	372	0.225
rs9702	11	373	0.97
rs9703	11	374	0.046
rs9704	11	375	1.012
rs9705	11	376	0.241
rs9706	11	377	0.058
rs9707	11	378	0.412
rs9708	11	379	0.197
rs9709	11	380	0.287
rs9710	11	381	0.048
rs9711	11	382	0.424
rs9712	11	383	0.267
rs9713	11	384	1.248
rs9714	11	385	1.33
rs9715	11	386	0.248
rs9716	11	387	0.663
rs9717	11	388	0.75
rs9718	11	389	0.015
rs9719	11	390	1.241
rs9720	11	391	1.25
rs9721	11	392	1.586
rs9722	11	393	0.426
rs9723	11	394	0.452
rs9724	11	395	0.232
rs9725	11	396	0.132
rs9726	11	397	0.401
rs9727	11	398	1.192
rs9728	11	399	0.149
rs9729	11	400	0.636
rs9730	11	401	0.033
rs9731	11	402	0.172
rs9732	11	403	0.179
rs9733	11	404	1.004
rs9734	11	405	0.293
rs9735	11	406	0.029
rs9736	11	407	0.442
rs9737	11	408	0.681
rs9738	11	409	1.055
rs9739	11	410	0.495
rs9740	11	411	0.284
rs9741	11	412	0.052
rs9742	11	413	0.198
rs9743	11	414	0.151
rs9744	11	415	0.279
rs9745	11	416	0.094
rs9746	11	417	0.371
rs9747	11	418	0.902
rs9748	11	419	1.177
rs9749	11	420	0.067
rs9750	11	421	0.287
rs9751	11	422	0.303
rs9752	11	423	0.002
rs9753	11	424	0.164
rs9754	11	425	0.144
rs9755	11	426	0.292
rs9756	11	427	1.04
rs9757	11	428	0.367
rs9758	11	429	0.193
rs9759	11	430	0.007
rs9760	11	431	0.118
rs9761	11	432	1.046
rs9762	11	433	0.048
rs9763	11	434	0.034
rs9764	11	435	0.797
rs9765	11	436	0.434
rs9766	11	437	0.444
rs9767	11	438	0.637
rs9768	11	439	0.083
rs9769	11	440	0.121
rs9770	11	441	0.522
rs9771	11	442	0.468
rs9772	11	443	1.446
rs9773	11	444	0.086
rs9774	11	445	0.292
rs9775	11	446	0.772
rs9776	11	447	0.223
rs9777	11	448	0.848
rs9778	11	449	0.835
rs9779	11	450	0.046
rs9780	11	451	0.767
rs9781	11	452	0.113
rs9782	11	453	0.277
rs9783	11	454	0.363
rs9784	11	455	0.242
rs9785	11	456	0.159
rs9786	11	457	0.248
rs9787	11	458	0.282
rs9788	11	459	0.965
rs9789	11	460	0.275
rs9790	11	461	0.793
rs9791	11	462	0.504
rs9792	11	463	0.367
rs9793	11	464	0.217
rs9794	11	465	0.166
rs9795	11	466	0.344
rs9796	11	467	0.08
rs9797	11	468	0.046
rs9798	11	469	0.485
rs9799	11	470	1.336
rs9800	11	471	0.036
rs9801	11	472	0.127
rs9802	11	473	0.385
rs9803	11	474	0.54
rs9804	11	475	0.134
rs9805	11	476	0.533
rs9806	11	477	0.366
rs9807	11	478	0.318
rs9808	11	479	0.018
rs9809	11	480	0.037
rs9810	11	481	0.022
rs9811	11	482	1.112
rs9812	11	483	0.276
rs9813	11	484	0.739
rs9814	11	485	0.025
rs9815	11	486	0.384
rs9816	11	487	1.137
rs9817	11	488	0.245
rs9818	11	489	0.001
rs9819	11	490	0.239
rs9820	11	491	3.314
rs9821	11	492	0.01
rs9822	11	493	0.065
rs9823	11	494	0.229
rs9824	11	495	0.529
rs9825	11	496	0.325
rs9826	11	497	0.071
rs9827	11	498	0.243
rs9828	11	499	0.122
rs9829	11	500	0.734
rs9830	11	501	0.499
rs9831	11	502	0.113
rs9832	11	503	0.029
rs9833	11	504	0.641
rs9834	11	505	0.095
rs9835	11	506	0.753
rs9836	11	507	1.132
rs9837	11	508	0.176
rs9838	11	509	0.117
rs9839	11	510	0.147
rs9840	11	511	0.452
rs9841	11	512	1.241
rs9842	11	513	0.075
rs9843	11	514	0.04
rs9844	11	515	0.517
rs9845	11	516	1.667
rs9846	11	517	0.225
rs9847	11	518	0.072
rs9848	11	519	0.394
rs9849	11	520	0.278
rs9850	11	521	0.969
rs9851	11	522	0.055
rs9852	11	523	0.247
rs9853	11	524	0.144
rs9854	11	525	0.625
rs9855	11	526	0.031
rs9856	11	527	0.015
rs9857	11	528	0.301
rs9858	11	529	0.113
rs9859	11	530	0.094
rs9860	11	531	1.066
rs9861	11	532	0.87
rs9862	11	533	1.054
rs9863	11	534	0.34
rs9864	11	535	0.337
rs9865	11	536	0.035
rs9866	11	537	0.407
rs9867	11	538	0.118
rs9868	11	539	0.5
rs9869	11	540	1.166
rs9870	11	541	0.639
rs9871	11	542	0.562
rs9872	11	543	0.182
rs9873	11	544	0.258
rs9874	11	545	0.137
rs9875	11	546	0.715
rs9876	11	547	1.109
rs9877	11	548	0.656
rs9878	11	549	0.37
rs9879	11	550	0.02
rs9880	11	551	0.2
rs9881	11	552	0.849
rs9882	11	553	0.012
rs9883	11	554	0.231
rs9884	11	555	0.115
rs9885	11	556	0.096
rs9886	11	557	0.604
rs9887	11	558	0.235
rs9888	11	559	0.247
rs9889	11	560	0.367
rs9890	11	561	0.143
rs9891	11	562	0.126
rs9892	11	563	0.327
rs9893	11	564	0.503
rs9894	11	565	0.122
rs9895	11	566	0.025
rs9896	11	567	0.24
rs9897	11	568	0.553
rs9898	11	569	0.163
rs9899	11	570	0.911
rs9900	11	571	0.837
rs9901	11	572	3.363
rs9902	11	573	0.203
rs9903	11	574	0.215
rs9904	11	575	0.203
rs9905	11	576	0.806
rs9906	11	577	0.395
rs9907	11	578	0.283
rs9908	11	579	0.177
rs9909	11	580	1.227
rs9910	11	581	0.12
rs9911	11	582	0.078
rs9912	11	583	0.013
rs9913	11	584	0.386
rs9914	11	585	0.536
rs9915	11	586	0.061
rs9916	11	587	0.063
rs9917	11	588	0.157
rs9918	11	589	0.509
rs9919	11	590	0.083
rs9920	11	591	0.064
rs9921	11	592	0.147
rs9922	11	593	0.217
rs9923	11	594	0.233
rs9924	11	595	0.087
rs9925	11	596	0.029
rs9926	11	597	1.254
rs9927	11	598	0.478
rs9928	11	599	0.031
rs9929	11	600	1.012
rs9930	11	601	0.056
rs9931	11	602	0.009
rs9932	11	603	1.235
rs9933	11	604	0.409
rs9934	11	605	0.062
rs9935	11	606	0.081
rs9936	11	607	0.013
rs9937	11	608	0.42
rs9938	11	609	0.449
rs9939	11	610	0.22
rs9940	11	611	0.386
rs9941	11	612	0.154
rs9942	11	613	0.774
rs9943	11	614	1.526
rs9944	11	615	0.412
rs9945	11	616	0.2
rs9946	11	617	0.587
rs9947	11	618	0.762
rs9948	11	619	0.824
rs9949	11	620	0.012
rs9950	11	621	0.048
rs9951	11	622	0.123
rs9952	11	623	0.091
rs9953	11	624	0.051
rs9954	11	625	0.783
rs9955	11	626	0.408
rs9956	11	627	0.247
rs9957	11	628	0.273
rs9958	11	629	0.061
rs9959	11	630	0.2
rs9960	11	631	0.039
rs9961	11	632	0.188
rs9962	11	633	0.684
rs9963	11	634	0.772
rs9964	11	635	0.087
rs9965	11	636	0.387
rs9966	11	637	0.472
rs9967	11	638	0.957
rs9968	11	639	0.02
rs9969	11	640	0.031
rs9970	11	641	0.793
rs9971	11	642	0.386
rs9972	11	643	0.042
rs9973	11	644	0.119
rs9974	11	645	0.865
rs9975	11	646	0.354
rs9976	11	647	0.688
rs9977	11	648	0.108
rs9978	11	649	0.347
rs9979	11	650	0.192
rs9980	11	651	0.224
rs9981	11	652	0.069
rs9982	11	653	0.024
rs9983	11	654	0.086
rs9984	11	655	0.902
rs9985	11	656	0.163
rs9986	11	657	1.914
rs9987	11	658	0.462
rs9988	11	659	1.081
rs9989	11	660	0.483
rs9990	11	661	0.274
rs9991	11	662	0.147
rs9992	11	663	0.17
rs9993	11	664	0.672
rs9994	11	665	1.05
rs9995	11	666	0.057
rs9996	11	667	0.134
rs9997	11	668	0.133
rs9998	11	669	0.248
rs9999	11	670	0.161
rs10000	11	671	0.188
rs10001	11	672	0.277
rs10002	11	673	0.189
rs10003	11	674	0.078
rs10004	12	1	0.461
rs10005	12	2	0.206
rs10006	12	3	0.178
rs10007	12	4	0.352
rs10008	12	5	0.13
rs10009	12	6	0.429
rs10010	12	7	1.383
rs10011	12	8	0.344
rs10012	12	9	0.064
rs10013	12	10	0.089
rs10014	12	11	0.778
rs10015	12	12	0.233
rs10016	12	13	0.09
rs10017	12	14	0.505
rs10018	12	15	0.575
rs10019	12	16	0.384
rs10020	12	17	0.758
rs10021	12	18	1.965
rs10022	12	19	0.018
rs10023	12	20	0.215
rs10024	12	21	0.133
rs10025	12	22	0.078
rs10026	12	23	0.045
rs10027	12	24	0.893
rs10028	12	25	0.403
rs10029	12	26	0.268
rs10030	12	27	0.746
rs10031	12	28	0.503
rs10032	12	29	0.81
rs10033	12	30	0.667
rs10034	12	31	0.134
rs10035	12	32	0.271
rs10036	12	33	0.187
rs10037	12	34	0.64
rs10038	12	35	0.113
rs10039	12	36	0.328
rs10040	12	37	0.136
rs10041	12	38	0.042
rs10042	12	39	0.557
rs10043	12	40	1.352
rs10044	12	41	0.688
rs10045	12	42	0.601
rs10046	12	43	0.088
rs10047	12	44	0.476
rs10048	12	45	0.085
rs10049	12	46	0.048
rs10050	12	47	1.237
rs10051	12	48	0.09
rs10052	12	49	0.763
rs10053	12	50	0.321
rs10054	12	51	0.108
rs10055	12	52	0.959
rs10056	12	53	0.104
rs10057	12	54	0.215
rs10058	12	55	0.014
rs10059	12	56	0.267
rs10060	12	57	0.419
rs10061	12	58	0.159
rs10062	12	59	0.054
rs10063	12	60	0.3
rs10064	12	61	0.072
rs10065	12	62	1.095
rs10066	12	63	0.182
rs10067	12	64	0.412
rs10068	12	65	0.678
rs10069	12	66	0.029
rs10070	12	67	0.038
rs10071	12	68	1.324
rs10072	12	69	0.185
rs10073	12	70	0.251
rs10074	12	71	0.269
rs10075	12	72	0.025
rs10076	12	73	0.302
rs10077	12	74	0.487
rs10078	12	75	0.315
rs10079	12	76	0.159
rs10080	12	77	0.115
rs10081	12	78	0.501
rs10082	12	79	1.499
rs10083	12	80	0.18
rs10084	12	81	0.672
rs10085	12	82	1.039
rs10086	12	83	0.007
rs10087	12	84	0.573
rs10088	12	85	0.504
rs10089	12	86	0.066
rs10090	12	87	0.681
rs10091	12	88	0.004
rs10092	12	89	0.108
rs10093	12	90	0.474
rs10094	12	91	0.206
rs10095	12	92	0.189
rs10096	12	93	1.264
rs10097	12	94	0.051
rs10098	12	95	0.181
rs10099	12	96	0.385
rs10100	12	97	0.46
rs10101	12	98	0.253
rs10102	12	99	0.651
rs10103	12	100	0.11
rs10104	12	101	0.137
rs10105	12	102	2.066
rs10106	12	103	0.015
rs10107	12	104	0.133
rs10108	12	105	0.678
rs10109	12	106	0.716
rs10110	12	107	1.749
rs10111	12	108	0.264
rs10112	12	109	1.14
rs10113	12	110	0.427
rs10114	12	111	0.112
rs10115	12	112	0.328
rs10116	12	113	0.757
rs10117	12	114	0.085
rs10118	12	115	0.008
rs10119	12	116	0.203
rs10120	12	117	0.295
rs10121	12	118	0.516
rs10122	12	119	0.896
rs10123	12	120	0.263
rs10124	12	121	0.199
rs10125	12	122	0.088
rs10126	12	123	1.727
rs10127	12	124	0.153
rs10128	12	125	0.413
rs10129	12	126	1.139
rs10130	12	127	0.354
rs10131	12	128	2.806
rs10132	12	129	0.19
rs10133	12	130	0.188
rs10134	12	131	0.151
rs10135	12	132	0.446
rs10136	12	133	0.289
rs10137	12	134	0.182
rs10138	12	135	0.518
rs10139	12	136	0.205
rs10140	12	137	0.076
rs10141	12	138	0.494
rs10142	12	139	0.728
rs10143	12	140	0.19
rs10144	12	141	0.203
rs10145	12	142	0.143
rs10146	12	143	0.49
rs10147	12	144	0.079
rs10148	12	145	0.338
rs10149	12	146	0.267
rs10150	12	147	0.944
rs10151	12	148	0.719
rs10152	12	149	0.935
rs10153	12	150	0.375
rs10154	12	151	0.121
rs10155	12	152	0.966
rs10156	12	153	0.043
rs10157	12	154	0.255
rs10158	12	155	0.029
rs10159	12	156	1.119
rs10160	12	157	0.271
rs10161	12	158	0.007
rs10162	12	159	0.052
rs10163	12	160	1.52
rs10164	12	161	0.056
rs10165	12	162	0.345
rs10166	12	163	0.924
rs10167	12	164	0.009
rs10168	12	165	0.823
rs10169	12	166	0.859
rs10170	12	167	0.07
rs10171	12	168	0.703
rs10172	12	169	0.261
rs10173	12	170	1.702
rs10174	12	171	0.523
rs10175	12	172	1.191
rs10176	12	173	0.603
rs10177	12	174	0.829
rs10178	12	175	1.464
rs10179	12	176	1.249
rs10180	12	177	0.486
rs10181	12	178	0.189
rs10182	12	179	0.447
rs10183	12	180	0.031
rs10184	12	181	0.633
rs10185	12	182	0.706
rs10186	12	183	0.454
rs10187	12	184	0.887
rs10188	12	185	0.251
rs10189	12	186	0.056
rs10190	12	187	0.57
rs10191	12	188	1.15
rs10192	12	189	0.053
rs10193	12	190	0.196
rs10194	12	191	0.752
rs10195	12	192	0.107
rs10196	12	193	0.498
rs10197	12	194	0.008
rs10198	12	195	0.314
rs10199	12	196	0.167
rs10200	12	197	0.462
rs10201	12	198	0.691
rs10202	12	199	1.364
rs10203	12	200	0.04
rs10204	12	201	0.561
rs10205	12	202	1.278
rs10206	12	203	0.314
rs10207	12	204	0.15
rs10208	12	205	0.168
rs10209	12	206	0.27
rs10210	12	207	0.562
rs10211	12	208	1.985
rs10212	12	209	1.144
rs10213	12	210	0.325
rs10214	12	211	0.434
rs10215	12	212	0.183
rs10216	12	213	0.678
rs10217	12	214	0.295
rs10218	12	215	0.07
rs10219	12	216	0.027
rs10220	12	217	1.016
rs10221	12	218	0.486
rs10222	12	219	0.495
rs10223	12	220	1.082
rs10224	12	221	0.053
rs10225	12	222	0.41
rs10226	12	223	0.045
rs10227	12	224	0.245
rs10228	12	225	0.047
rs10229	12	226	2.045
rs10230	12	227	0.312
rs10231	12	228	0.454
rs10232	12	229	0.112
rs10233	12	230	0.131
rs10234	12	231	0.187
rs10235	12	232	0.334
rs10236	12	233	0.221
rs10237	12	234	0.14
rs10238	12	235	0.156
rs10239	12	236	0.027
rs10240	12	237	0.069
rs10241	12	238	1.468
rs10242	12	239	0.669
rs10243	12	240	0.035
rs10244	12	241	0.167
rs10245	12	242	0.116
rs10246	12	243	1.241
rs10247	12	244	0.037
rs10248	12	245	0.544
rs10249	12	246	0.125
rs10250	12	247	0.206
rs10251	12	248	0.27
rs10252	12	249	1.652
rs10253	12	250	0.012
rs10254	12	251	0.221
rs10255	12	252	0.379
rs10256	12	253	0.448
rs10257	12	254	1.638
rs10258	12	255	1.545
rs10259	12	256	0.283
rs10260	12	257	0.212
rs10261	12	258	1.581
rs10262	12	259	1.025
rs10263	12	260	0.036
rs10264	12	261	0.125
rs10265	12	262	1.122
rs10266	12	263	0.502
rs10267	12	264	0.053
rs10268	12	265	0.885
rs10269	12	266	0.628
rs10270	12	267	0.263
rs10271	12	268	0.442
rs10272	12	269	0.146
rs10273	12	270	0.03
rs10274	12	271	0.051
rs10275	12	272	0.165
rs10276	12	273	0.234
rs10277	12	274	1.069
rs10278	12	275	0.643
rs10279	12	276	0.366
rs10280	12	277	1.033
rs10281	12	278	0.432
rs10282	12	279	0.001
rs10283	12	280	0.728
rs10284	12	281	0.35
rs10285	12	282	0.131
rs10286	12	283	0.887
rs10287	12	284	0.001
rs10288	12	285	0.097
rs10289	12	286	0.868
rs10290	12	287	0.146
rs10291	12	288	0.379
rs10292	12	289	0.492
rs10293	12	290	0.001
rs10294	12	291	0.129
rs10295	12	292	0.234
rs10296	12	293	0.939
rs10297	12	294	0.437
rs10298	12	295	0.187
rs10299	12	296	0.302
rs10300	12	297	0.465
rs10301	12	298	1.322
rs10302	12	299	0.113
rs10303	12	300	0.354
rs10304	12	301	0.252
rs10305	12	302	0.856
rs10306	12	303	0.171
rs10307	12	304	0.973
rs10308	12	305	0.305
rs10309	12	306	0.23
rs10310	12	307	0.381
rs10311	12	308	0.64
rs10312	12	309	1.189
rs10313	12	310	0.158
rs10314	12	311	0.13
rs10315	12	312	0.172
rs10316	12	313	0.043
rs10317	12	314	0.19
rs10318	12	315	0.01
rs10319	12	316	0.257
rs10320	12	317	0.046
rs10321	12	318	0.155
rs10322	12	319	0.004
rs10323	12	320	0.875
rs10324	12	321	0.003
rs10325	12	322	0.999
rs10326	12	323	0.259
rs10327	12	324	0.667
rs10328	12	325	0.168
rs10329	12	326	0.059
rs10330	12	327	0.011
rs10331	12	328	0.315
rs10332	12	329	0.231
rs10333	12	330	0.361
rs10334	12	331	1.199
rs10335	12	332	0.385
rs10336	12	333	0.246
rs10337	12	334	0.266
rs10338	12	335	0.42
rs10339	12	336	0.155
rs10340	12	337	0.388
rs10341	12	338	0.29
rs10342	12	339	0.082
rs10343	12	340	0.077
rs10344	12	341	0.471
rs10345	12	342	0.047
rs10346	12	343	0.139
rs10347	12	344	0.066
rs10348	12	345	0.071
rs10349	12	346	0.244
rs10350	12	347	0.148
rs10351	12	348	0.035
rs10352	12	349	0.596
rs10353	12	350	0.248
rs10354	12	351	0.145
rs10355	12	352	0.232
rs10356	12	353	0.073
rs10357	12	354	0.259
rs10358	12	355	0.438
rs10359	12	356	0.115
rs10360	12	357	0.395
rs10361	12	358	0.578
rs10362	12	359	0.233
rs10363	12	360	0.673
rs10364	12	361	0.309
rs10365	12	362	0.022
rs10366	12	363	0.955
rs10367	12	364	1.058
rs10368	12	365	0.23
rs10369	12	366	0.045
rs10370	12	367	0.424
rs10371	12	368	1.273
rs10372	12	369	0.179
rs10373	12	370	0.015
rs10374	12	371	0.523
rs10375	12	372	0.321
rs10376	12	373	0.338
rs10377	12	374	0.003
rs10378	12	375	0.236
rs10379	12	376	0.198
rs10380	12	377	0.274
rs10381	12	378	0.566
rs10382	12	379	0.913
rs10383	12	380	0.091
rs10384	12	381	0.151
rs10385	12	382	0.218
rs10386	12	383	0.41
rs10387	12	384	0.118
rs10388	12	385	0.371
rs10389	12	386	0.222
rs10390	12	387	0.059
rs10391	12	388	0.037
rs10392	12	389	0.15
rs10393	12	390	0.08
rs10394	12	391	0.024
rs10395	12	392	0.461
rs10396	12	393	0.205
rs10397	12	394	0.226
rs10398	12	395	0.084
rs10399	12	396	0.022
rs10400	12	397	1.331
rs10401	12	398	0.238
rs10402	12	399	0.177
rs10403	12	400	0.048
rs10404	12	401	0.507
rs10405	12	402	0.062
rs10406	12	403	0.301
rs10407	12	404	0.225
rs10408	12	405	0.441
rs10409	12	406	0.099
rs10410	12	407	0.04
rs10411	12	408	0.534
rs10412	12	409	1.133
rs10413	12	410	0.318
rs10414	12	411	0.003
rs10415	12	412	0.011
rs10416	12	413	0.781
rs10417	12	414	0.221
rs10418	12	415	0.986
rs10419	12	416	0.048
rs10420	12	417	0.347
rs10421	12	418	0.472
rs10422	12	419	0.157
rs10423	12	420	2.06
rs10424	12	421	0.122
rs10425	12	422	0.736
rs10426	12	423	0.166
rs10427	12	424	0.391
rs10428	12	425	0.302
rs10429	12	426	0.952
rs10430	12	427	0.185
rs10431	12	428	0.096
rs10432	12	429	0.079
rs10433	12	430	0.303
rs10434	12	431	0.177
rs10435	12	432	0.777
rs10436	12	433	0.052
rs10437	12	434	0.065
rs10438	12	435	0.001
rs10439	12	436	0.428
rs10440	12	437	0.171
rs10441	12	438	0.909
rs10442	12	439	0.113
rs10443	12	440	0.34
rs10444	12	441	0.034
rs10445	12	442	0.25
rs10446	12	443	0.191
rs10447	12	444	0.003
rs10448	12	445	0.046
rs10449	12	446	0.218
rs10450	12	447	0.067
rs10451	12	448	0.447
rs10452	12	449	0.189
rs10453	12	450	0.793
rs10454	12	451	0.395
rs10455	12	452	0.247
rs10456	12	453	0.137
rs10457	12	454	0.432
rs10458	12	455	0.531
rs10459	12	456	0.099
rs10460	12	457	0.308
rs10461	12	458	0.217
rs10462	12	459	0.58
rs10463	12	460	0.032
rs10464	12	461	0.057
rs10465	12	462	0.23
rs10466	12	463	0.363
rs10467	12	464	1.086
rs10468	12	465	0
rs10469	12	466	0.721
rs10470	12	467	0.094
rs10471	12	468	0.308
rs10472	12	469	0.079
rs10473	12	470	0.138
rs10474	12	471	0.204
rs10475	12	472	0.003
rs10476	12	473	0.788
rs10477	12	474	0.126
rs10478	12	475	0.132
rs10479	12	476	0.141
rs10480	12	477	1.592
rs10481	12	478	0.989
rs10482	12	479	0.216
rs10483	12	480	0.193
rs10484	12	481	1.093
rs10485	12	482	1.024
rs10486	12	483	0.316
rs10487	12	484	0.551
rs10488	12	485	0.127
rs10489	12	486	0.093
rs10490	12	487	0.047
rs10491	12	488	0.08
rs10492	12	489	0.155
rs10493	12	490	0.469
rs10494	12	491	0.261
rs10495	12	492	0.54
rs10496	12	493	0.041
rs10497	12	494	0.405
rs10498	12	495	0.119
rs10499	12	496	0.012
rs10500	12	497	0.423
rs10501	12	498	2.456
rs10502	12	499	0.327
rs10503	12	500	0.349
rs10504	12	501	0.378
rs10505	12	502	0.062
rs10506	12	503	1.049
rs10507	12	504	0.361
rs10508	12	505	0.069
rs10509	12	506	0.925
rs10510	12	507	0.533
rs10511	12	508	0.129
rs10512	12	509	0.243
rs10513	12	510	0.091
rs10514	12	511	0.102
rs10515	12	512	0.958
rs10516	12	513	0.549
rs10517	12	514	0.423
rs10518	12	515	0.835
rs10519	12	516	0.127
rs10520	12	517	1.299
rs10521	12	518	0.658
rs10522	12	519	0.874
rs10523	12	520	0.315
rs10524	12	521	0.143
rs10525	12	522	0.392
rs10526	12	523	0.163
rs10527	12	524	0.364
rs10528	12	525	0.129
rs10529	12	526	0.364
rs10530	12	527	0.51
rs10531	12	528	0.045
rs10532	12	529	0.197
rs10533	12	530	0.063
rs10534	12	531	0.267
rs10535	12	532	0.166
rs10536	12	533	0.608
rs10537	12	534	0.38
rs10538	12	535	0.258
rs10539	12	536	1.315
rs10540	12	537	0.931
rs10541	12	538	0.756
rs10542	12	539	0.52
rs10543	12	540	0.061
rs10544	12	541	0.207
rs10545	12	542	0.734
rs10546	12	543	0.134
rs10547	12	544	0.422
rs10548	12	545	0.318
rs10549	12	546	0.064
rs10550	12	547	0.26
rs10551	12	548	1.017
rs10552	12	549	0.173
rs10553	12	550	0.018
rs10554	12	551	2.067
rs10555	12	552	0.341
rs10556	12	553	0.163
rs10557	12	554	2.104
rs10558	12	555	0.334
rs10559	12	556	0.821
rs10560	12	557	0.068
rs10561	12	558	0.409
rs10562	12	559	0.644
rs10563	12	560	0.037
rs10564	12	561	0.712
rs10565	12	562	0.066
rs10566	12	563	0.795
rs10567	12	564	0.117
rs10568	12	565	0.185
rs10569	12	566	0.182
rs10570	12	567	0.442
rs10571	12	568	0.336
rs10572	12	569	0.565
rs10573	12	570	0.515
rs10574	12	571	0.417
rs10575	12	572	0.869
rs10576	12	573	0.61
rs10577	12	574	0.073
rs10578	12	575	0.74
rs10579	12	576	0.264
rs10580	12	577	1.168
rs10581	12	578	0.077
rs10582	12	579	0.423
rs10583	12	580	0.004
rs10584	12	581	0.055
rs10585	12	582	0.175
rs10586	12	583	0.22
rs10587	12	584	0.357
rs10588	12	585	0.168
rs10589	12	586	0.073
rs10590	12	587	1.736
rs10591	12	588	0.483
rs10592	12	589	2.059
rs10593	12	590	0.174
rs10594	12	591	0.541
rs10595	12	592	0.012
rs10596	12	593	1.453
rs10597	12	594	0.567
rs10598	12	595	0.125
rs10599	12	596	0.759
rs10600	12	597	0.07
rs10601	12	598	0.844
rs10602	12	599	0.087
rs10603	12	600	0.049
rs10604	12	601	0.347
rs10605	12	602	0.139
rs10606	12	603	2.724
rs10607	12	604	0.046
rs10608	12	605	0.055
rs10609	12	606	0.111
rs10610	12	607	0.218
rs10611	12	608	0.23
rs10612	12	609	0.573
rs10613	12	610	0.225
rs10614	12	611	0.179
rs10615	12	612	0.273
rs10616	12	613	0.036
rs10617	12	614	0.606
rs10618	12	615	0.054
rs10619	12	616	0.259
rs10620	12	617	0.105
rs10621	12	618	0.419
rs10622	12	619	0.247
rs10623	12	620	0.119
rs10624	12	621	0.45
rs10625	12	622	0.842
rs10626	12	623	0.05
rs10627	12	624	0.894
rs10628	12	625	2.815
rs10629	12	626	0.026
rs10630	12	627	0.85
rs10631	12	628	0.362
rs10632	12	629	0.473
rs10633	12	630	0.043
rs10634	12	631	0.248
rs10635	12	632	0.071
rs10636	12	633	0.087
rs10637	12	634	0.676
rs10638	12	635	0.326
rs10639	12	636	0.758
rs10640	12	637	0.759
rs10641	12	638	0.562
rs10642	12	639	1.903
rs10643	12	640	1.64
rs10644	12	641	0.219
rs10645	12	642	0.203
rs10646	12	643	0.102
rs10647	12	644	0.524
rs10648	12	645	0.202
rs10649	12	646	1.11
rs10650	12	647	0.055
rs10651	12	648	0.706
rs10652	12	649	0.787
rs10653	12	650	0.051
rs10654	12	651	0.949
rs10655	12	652	0.058
rs10656	12	653	0.221
rs10657	12	654	0.054
rs10658	12	655	1.389
rs10659	13	1	0.6
rs10660	13	2	0.045
rs10661	13	3	0.027
rs10662	13	4	1.884
rs10663	13	5	0.717
rs10664	13	6	0.137
rs10665	13	7	0.129
rs10666	13	8	0.097
rs10667	13	9	0.366
